playerID,gameDate,pitch,mph,spinRate,pitcher,batter,evMph,la,distance,zone,pitchCount,inning,pitchResult,paResult,recID,batterID,batterResult,hitType,hitSpeed,videoLink
506433,2023/08/19 0:00,FS,87.9,1510,YU DARVISH,ALEK THOMAS,104.1,10,199,1,0-2,Top 2,Hit Into Play,Alek Thomas doubles (15) on a sharp line drive to center fielder Trent Grisham. Christian Walker to 3rd.,184671,677950,doubles,line drive,sharp,https://baseballsavant.mlb.com/sporty-videos?playId=0993c4a5-9dcc-4874-b981-b4a2d3becc71
506433,2023/08/19 0:00,KC,78.9,2793,YU DARVISH,ALEK THOMAS,,,,8,0-1,Top 2,Swinging Strike,Alek Thomas doubles (15) on a sharp line drive to center fielder Trent Grisham. Christian Walker to 3rd.,184672,677950,doubles,line drive,sharp,https://baseballsavant.mlb.com/sporty-videos?playId=d649f9bb-732f-484e-a086-0299884c0ce8
506433,2023/08/19 0:00,FF,94.4,2323,YU DARVISH,ALEK THOMAS,,,,5,0-0,Top 2,Called Strike,Alek Thomas doubles (15) on a sharp line drive to center fielder Trent Grisham. Christian Walker to 3rd.,184673,677950,doubles,line drive,sharp,https://baseballsavant.mlb.com/sporty-videos?playId=acf356b7-97a1-4a8e-9448-393dd72b19d9
506433,2023/08/19 0:00,SL,88.5,2843,YU DARVISH,KYLE LEWIS,,,,2,02月02日,Top 2,Swinging Strike,Kyle Lewis strikes out swinging.,184674,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=fb7a3f11-182a-4818-a4fe-7e967cb59836
506433,2023/08/19 0:00,SL,88.4,2910,YU DARVISH,KYLE LEWIS,82.7,74,108,8,02月02日,Top 2,Foul,Kyle Lewis strikes out swinging.,184675,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=972aa24d-f9c3-45c6-a28c-66e7dcc6f094
506433,2023/08/19 0:00,SL,89.2,2850,YU DARVISH,KYLE LEWIS,,,,12,01月02日,Top 2,Ball,Kyle Lewis strikes out swinging.,184676,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=45ac1c4f-e8bd-4b5f-a93d-01fdd2c39c24
506433,2023/08/19 0:00,FF,95.5,2355,YU DARVISH,KYLE LEWIS,,,,14,0-2,Top 2,Ball,Kyle Lewis strikes out swinging.,184677,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=d0bdcfff-e845-472f-926f-efc2a2e127bc
506433,2023/08/19 0:00,SL,88.3,2873,YU DARVISH,KYLE LEWIS,,,,9,0-1,Top 2,Swinging Strike,Kyle Lewis strikes out swinging.,184678,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=e818c615-8a60-4902-a422-a9b068b6604a
506433,2023/08/19 0:00,FF,94.8,2208,YU DARVISH,KYLE LEWIS,,,,9,0-0,Top 2,Called Strike,Kyle Lewis strikes out swinging.,184679,641786,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=97bde3b7-4563-4275-adf3-f3581af9a395
506433,2023/08/19 0:00,SI,93.8,2214,YU DARVISH,CHRISTIAN WALKER,85.2,12,173,4,1-0,Top 2,Hit Into Play,Christian Walker singles on a line drive to center fielder Trent Grisham.,184680,572233,singles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=7ae615da-db56-4753-947f-c45ec12308e2
506433,2023/08/19 0:00,FF,95.2,2405,YU DARVISH,CHRISTIAN WALKER,,,,14,0-0,Top 2,Ball,Christian Walker singles on a line drive to center fielder Trent Grisham.,184681,572233,singles,line drive,medium,https://baseballsavant.mlb.com/sporty-videos?playId=ae99a532-cffe-4064-adc1-b86d1720866a
506433,2023/08/04 0:00,SI,95.7,2357,YU DARVISH,JAMES OUTMAN,,,,9,0-1,Top 2,Called Strike,James Outman homers (13) on a fly ball to right field.,184926,681546,,,,https://baseballsavant.mlb.com/sporty-videos?playId=388038c1-d8c6-4640-8664-feed72ba828d
506433,2023/08/04 0:00,SI,95.8,2344,YU DARVISH,JAMES OUTMAN,,,,9,0-0,Top 2,Called Strike,James Outman homers (13) on a fly ball to right field.,184927,681546,,,,https://baseballsavant.mlb.com/sporty-videos?playId=e9683f0a-5c09-40c3-8d8d-ffd0e6e1e413
506433,2023/08/04 0:00,KC,79.6,2805,YU DARVISH,CHRIS TAYLOR,,,,9,0-2,Top 2,Swinging Strike,Chris Taylor strikes out swinging.,184928,621035,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=6b000b57-933f-4b24-bbd2-6464481bffd3
506433,2023/08/04 0:00,FF,95.7,2387,YU DARVISH,CHRIS TAYLOR,,,,3,0-2,Top 2,Foul,Chris Taylor strikes out swinging.,184929,621035,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=b72c1c0b-5417-46f3-9163-4a1ffd617721
506433,2023/08/04 0:00,FF,95.9,2434,YU DARVISH,CHRIS TAYLOR,80.3,40,279,2,0-1,Top 2,Foul,Chris Taylor strikes out swinging.,184930,621035,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=d7fe1eac-bb49-43cd-a462-eaf96adb432f
506433,2023/08/04 0:00,SL,87.3,2883,YU DARVISH,CHRIS TAYLOR,,,,9,0-0,Top 2,Called Strike,Chris Taylor strikes out swinging.,184931,621035,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=f4fc9bc6-820d-4350-9793-94677572cd54
506433,2023/08/04 0:00,FC,90.3,2612,YU DARVISH,JASON HEYWARD,64.7,69,115,2,02月01日,Top 2,Hit Into Play,Jason Heyward pops out to third baseman Manny Machado in foul territory.,184932,518792,pops out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=14089b59-0815-4d1b-a560-a63921508946
506433,2023/08/04 0:00,ST,81,2838,YU DARVISH,JASON HEYWARD,,,,2,2-0,Top 2,Called Strike,Jason Heyward pops out to third baseman Manny Machado in foul territory.,184933,518792,pops out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=67de417b-d7fd-4956-ac75-b129a0f4f7e5
